wall_time,step,value
1658339022.3254356,450560,0.0
1658339082.32586,1067008,0.0
1658339142.3278198,1682432,0.0
1658339202.3336148,2300928,0.0
1658339262.3287573,2916352,0.0
1658339322.3258832,3531776,0.0
1658339382.3257978,4148224,0.0
1658339442.3323753,4763648,0.0
1658339502.3383589,5382144,0.0
1658339562.326162,5999616,0.0
1658339622.3254843,6617088,0.0
1658339682.329465,7233536,0.0
1658339742.3273768,7851008,0.0
1658339802.3295367,8467456,0.0
1658339862.3323946,9085952,0.0
1658339922.3304446,9702400,0.0
1658339982.3268008,10318848,0.0
1658340042.331311,10934272,0.0
1658340102.3256485,11551744,0.0
1658340162.33868,12167168,0.0
1658340222.340478,12786688,0.0
1658340282.3273234,13403136,0.0
1658340342.3281095,14020608,0.0
1658340402.3288558,14639104,0.0
1658340462.3283963,15255552,0.0
1658340522.3311553,15874048,0.0
1658340582.3309233,16491520,0.0
1658340642.334824,17108992,0.0
1658340702.327065,17727488,0.0
1658340762.326404,18343936,0.0
1658340822.33142,18959360,0.0
1658340882.3255336,19576832,0.0
1658340942.3257413,20193280,0.0
1658341002.3256495,20810752,0.0
1658341062.3256752,21427200,0.0
1658341122.3314028,22045696,0.0
1658341182.3324158,22661120,0.0
1658341242.3299067,23277568,0.0
1658341302.3260736,23895040,0.0
1658341362.3343081,24512512,0.0
1658341422.3274035,25128960,0.0
1658341482.3285599,25746432,0.0
1658341542.325707,26363904,0.0
1658341602.3258164,26980352,0.0
1658341662.3274133,27596800,0.0
1658341722.3299685,28213248,0.0
1658341782.3257368,28829696,0.0
1658341842.3260303,29447168,0.0
1658341902.325528,30065664,0.0
1658341962.3324382,30681088,0.0
1658342022.3340914,31297536,0.0
1658342082.3265524,31916032,0.0
1658342142.3362362,32533504,0.0
1658342202.3322525,33149952,0.0
1658342262.324362,33766400,0.0
1658342322.3259728,34381824,0.0
1658342382.325423,34999296,0.0
1658342442.325956,35618816,0.0
1658342502.3280344,36235264,0.0
1658342562.3265364,36851712,0.0
1658342622.3357897,37468160,0.0
1658342682.3348966,38086656,0.0
1658342742.3259492,38702080,0.0
1658342802.3312316,39318528,0.0
1658342862.3260677,39934976,0.0
1658342922.3312538,40551424,0.0
1658342982.3307273,41168896,0.0
1658343042.3297076,41785344,0.0
1658343102.330288,42400768,0.0
1658343162.333142,43017216,0.0
1658343222.3296297,43636736,0.0
1658343282.3306527,44252160,0.0
1658343342.329664,44869632,0.0
1658343402.3276405,45486080,0.0
1658343462.3268747,46102528,0.0
1658343522.3289125,46717952,0.0
1658343582.3255594,47336448,0.0
1658343642.32509,47954944,0.0
1658343702.3323743,48570368,0.0
1658343762.3262463,49188864,0.0
1658343822.3303032,49801216,0.0
1658343882.3327365,50418688,0.0
1658343942.3286173,51036160,0.0
1658344002.3475528,51651584,0.0
1658344062.33046,52269056,0.0
1658344122.33141,52884480,0.0
1658344182.3312984,53502976,0.0
1658344242.3315735,54118400,0.0
1658344302.3286972,54734848,0.0
1658344362.3245165,55352320,0.0
1658344422.3277848,55968768,0.0
1658344482.330834,56583168,0.0
1658344542.3371744,57201664,0.0
1658344602.331155,57818112,0.0
1658344662.3275127,58433536,0.0
1658344722.3284602,59051008,0.0
1658344782.325335,59669504,0.0
1658344842.3259006,60284928,0.0
1658344902.3277907,60901376,0.0
1658344962.332285,61520896,0.0
1658345022.3262897,62135296,0.0
1658345082.3262317,62752768,0.0
1658345142.3273106,63369216,0.0
1658345202.3262146,63985664,0.0
1658345262.3255832,64604160,0.0
1658345322.3261516,65220608,0.0
1658345382.3265617,65839104,0.0
1658345442.3251827,66454528,0.0
1658345502.329877,67073024,0.0
1658345562.3260767,67688448,0.0
1658345622.3344378,68305920,0.0
1658345682.3282235,68923392,0.0
1658345742.3263,69539840,0.0
1658345802.3341043,70157312,0.0
1658345862.3335736,70773760,0.0
1658345922.3255558,71391232,0.0
1658345982.3273993,72009728,0.0
1658346042.3258796,72626176,0.0
1658346102.3255959,73243648,0.0
1658346162.3272223,73861120,0.0
1658346222.3293126,74477568,0.0
1658346282.3346548,75094016,0.0
1658346342.3256898,75710464,0.0
1658346402.3298683,76326912,0.0
1658346462.3257985,76943360,0.0
1658346522.3314056,77560832,0.0
1658346582.3287992,78178304,0.0
1658346642.3363874,78794752,0.0
1658346702.3309965,79411200,0.0
1658346762.3284972,80027648,0.0
1658346822.3262382,80645120,0.0
1658346882.3255389,81258496,0.0
1658346942.331281,81878016,0.0
1658347002.3311396,82494464,0.0
1658347062.3340428,83110912,0.0
1658347122.3264794,83727360,0.0
1658347182.3288252,84342784,0.0
1658347242.3257067,84961280,0.0
1658347302.325761,85577728,0.0
1658347362.3305273,86195200,0.0
1658347422.3287914,86811648,0.0
1658347482.3294985,87429120,0.0
1658347542.3260713,88044544,0.0
1658347602.3258798,88659968,0.0
1658347662.3261838,89278464,0.0
1658347722.3265035,89896960,0.0
1658347782.329291,90511360,0.0
1658347842.326204,91130880,0.0
1658347902.3262937,91746304,0.0
1658347962.3260307,92362752,0.0
1658348022.3260682,92980224,0.0
1658348082.3253858,93594624,0.0
1658348142.3345811,94212096,0.0
1658348202.333646,94827520,0.0
1658348262.327237,95440896,0.0
1658348322.3369951,96056320,0.0
1658348382.328861,96673792,0.0
1658348442.3335907,97288192,0.0
1658348502.3337512,97903616,0.0
1658348562.3269074,98520064,0.0
1658348622.331031,99136512,0.0
1658348682.325654,99751936,0.0
1658348742.3324354,100368384,0.0
1658348802.3371,100982784,0.0
1658348862.3330219,101601280,0.0
1658348922.329806,102215680,0.0
1658348982.3262475,102832128,0.0
1658349042.3266995,103447552,0.0
1658349102.3300827,104065024,0.0
1658349162.33091,104681472,0.0
1658349222.325532,105297920,0.0
1658349282.3289356,105913344,0.0
1658349342.3259802,106529792,0.0
1658349402.3329086,107145216,0.0
1658349462.3309526,107762688,0.0
1658349522.3313327,108380160,0.0
1658349582.3263142,108995584,0.0
1658349642.3252609,109615104,0.0
1658349702.3275852,110230528,0.0
1658349762.3357153,110845952,0.0
1658349822.3328648,111463424,0.0
1658349882.3267224,112079872,0.0
1658349942.3288891,112696320,0.0
1658350002.328321,113312768,0.0
1658350062.325661,113929216,0.0
1658350122.329451,114546688,0.0
1658350182.3271422,115160064,0.0
1658350242.327195,115774464,0.0
1658350302.3302026,116388864,0.0
1658350362.3257687,117003264,0.0
1658350422.3251936,117614592,0.0
1658350482.3271015,118226944,0.0
1658350542.3292415,118837248,0.0
1658350602.3330362,119447552,0.0
1658350662.3319016,120056832,0.0
1658350722.325639,120666112,0.0
1658350782.3289392,121274368,0.0
1658350842.3283608,121883648,0.0
1658350902.3333397,122490880,0.0
1658350962.3285632,123100160,0.0
1658351022.3257048,123707392,0.0
1658351082.3293266,124316672,0.0
1658351142.3329961,124924928,0.0
1658351202.331466,125532160,0.0
1658351262.325848,126141440,0.0
1658351322.3283756,126747648,0.0
1658351382.3261902,127354880,0.0
1658351442.325687,127963136,0.0
1658351502.3297944,128571392,0.0
1658351562.3279722,129179648,0.0
1658351622.3292341,129787904,0.0
1658351682.3248408,130395136,0.0
1658351742.3330882,131002368,0.0
1658351802.325728,131610624,0.0
1658351862.3257415,132219904,0.0
1658351922.3274517,132827136,0.0
1658351982.3308446,133436416,0.0
1658352042.3306248,134042624,0.0
1658352102.3311205,134650880,0.0
1658352162.3310654,135259136,0.0
1658352222.3289955,135866368,0.0
1658352282.3257434,136472576,0.0
1658352342.326794,137080832,0.0
1658352402.3257937,137687040,0.0
1658352462.3308573,138295296,0.0
1658352522.3258328,138902528,0.0
1658352582.3334904,139511808,0.0
1658352642.328183,140119040,0.0
1658352702.3361423,140725248,0.0
1658352762.3282578,141332480,0.0
1658352822.3308957,141941760,0.0
1658352882.3301294,142546944,0.0
1658352942.3270223,143156224,0.0
1658353002.3329482,143763456,0.0
1658353062.329634,144371712,0.0
1658353122.331345,144978944,0.0
1658353182.326127,145587200,0.0
1658353242.3312829,146194432,0.0
1658353302.3257089,146800640,0.0
1658353362.326115,147408896,0.0
1658353422.3298945,148016128,0.0
1658353482.3304486,148621312,0.0
1658353542.3274448,149228544,0.0
1658353602.3368335,149836800,0.0
1658353662.3313904,150443008,0.0
1658353722.3337896,151050240,0.0
1658353782.329957,151656448,0.0
1658353842.3257647,152263680,0.0
1658353902.3256679,152871936,0.0
1658353962.3269918,153480192,0.0
1658354022.3256495,154085376,0.0
1658354082.3302205,154693632,0.0
1658354142.330567,155300864,0.0
1658354202.3326821,155910144,0.0
1658354262.3272822,156515328,0.0
1658354322.3305292,157122560,0.0
1658354382.3258824,157728768,0.0
1658354442.3273966,158336000,0.0
1658354502.3323205,158943232,0.0
1658354562.3268845,159551488,0.0
1658354622.331628,160159744,0.0
1658354682.3308644,160765952,0.0
1658354742.3307843,161373184,0.0
1658354802.3335705,161980416,0.0
1658354862.3257082,162586624,0.0
1658354922.3278432,163192832,0.0
1658354982.3267257,163800064,0.0
1658355042.3317096,164408320,0.0
1658355102.3314266,165015552,0.0
1658355162.3284261,165620736,0.0
1658355222.3297925,166226944,0.0
1658355282.3270633,166835200,0.0
1658355342.3262818,167441408,0.0
1658355402.3259428,168049664,0.0
1658355462.326657,168653824,0.0
1658355522.3260236,169262080,0.0
1658355582.334822,169868288,0.0
1658355642.332756,170475520,0.0
1658355702.3252459,171081728,0.0
1658355762.330031,171689984,0.0
1658355822.3356967,172297216,0.0
1658355882.3318932,172901376,0.0
1658355942.3257785,173510656,0.0
1658356002.326272,174117888,0.0
1658356062.3255074,174724096,0.0
1658356122.3267312,175330304,0.0
1658356182.340025,175936512,0.0
1658356242.3256197,176541696,0.0
1658356302.325211,177152000,0.0
1658356362.3266778,177757184,0.0
1658356422.3311403,178364416,0.0
1658356482.3341632,178971648,0.0
1658356542.327022,179576832,0.0
1658356602.3297033,180187136,0.0
1658356662.3290133,180793344,0.0
1658356722.3300595,181398528,0.0
1658356782.3259976,182006784,0.0
1658356842.3331277,182610944,0.0
1658356902.3303685,183218176,0.0
1658356962.3307352,183824384,0.0
1658357022.326125,184428544,0.0
1658357082.3264167,185036800,0.0
1658357142.3267953,185643008,0.0
1658357202.3269277,186250240,0.0
1658357262.3256485,186857472,0.0
1658357322.331044,187463680,0.0
1658357382.3254993,188071936,0.0
1658357442.3312645,188679168,0.0
1658357502.32861,189287424,0.0
1658357562.3309135,189892608,0.0
1658357622.3256495,190500864,0.0
1658357682.333058,191107072,0.0
1658357742.3260324,191712256,0.0
1658357802.3266902,192319488,0.0
1658357862.3305628,192926720,0.0
1658357922.3289073,193534976,0.0
1658357982.32904,194142208,0.0
1658358042.3351934,194748416,0.0
1658358102.3273654,195354624,0.0
1658358162.3297946,195961856,0.0
1658358222.326748,196567040,0.0
1658358282.3294432,197173248,0.0
1658358342.3256593,197780480,0.0
1658358402.3311527,198385664,0.0
1658358462.3273053,198993920,0.0
1658358522.3267093,199599104,0.0
1658358582.3273597,200207360,0.0
1658358642.3268535,200812544,0.0
1658358702.3264651,201419776,0.0
1658358762.3432698,202024960,0.0
1658358822.3311555,202633216,0.0
1658358882.3267925,203240448,0.0
1658358942.3268034,203847680,0.0
1658359002.3259137,204453888,0.0
1658359062.3257031,205060096,0.0
1658359122.3308098,205668352,0.0
1658359182.3257105,206272512,0.0
1658359242.3328137,206878720,0.0
1658359302.330858,207485952,0.0
