wall_time,step,value
1658339022.3232052,450560,-127.99188232421875
1658339082.3237383,1067008,-114.94950866699219
1658339142.3253443,1682432,-120.64478302001953
1658339202.3315642,2300928,-112.00057220458984
1658339262.3234577,2916352,-106.05621337890625
1658339322.3236072,3531776,-117.5000228881836
1658339382.3235502,4148224,-103.46041870117188
1658339442.3251655,4763648,-108.94224548339844
1658339502.3294208,5382144,-115.52848052978516
1658339562.3237169,5999616,-104.36359405517578
1658339622.323109,6617088,-103.3958740234375
1658339682.327026,7233536,-101.18701171875
1658339742.32321,7851008,-100.32576751708984
1658339802.3271658,8467456,-101.9091567993164
1658339862.3233,9085952,-97.83555603027344
1658339922.3277607,9702400,-94.57304382324219
1658339982.3242385,10318848,-94.62083435058594
1658340042.3288386,10934272,-94.47811126708984
1658340102.3232784,11551744,-91.10700988769531
1658340162.3232915,12167168,-92.21405792236328
1658340222.335504,12786688,-90.09556579589844
1658340282.3249595,13403136,-82.9151840209961
1658340342.3240263,14020608,-76.83660125732422
1658340402.3233898,14639104,-84.4828872680664
1658340462.323921,15255552,-81.67142486572266
1658340522.3235855,15874048,-92.11891174316406
1658340582.3285725,16491520,-91.56717681884766
1658340642.332338,17108992,-79.84095764160156
1658340702.3246405,17727488,-90.91377258300781
1658340762.3236823,18343936,-88.0849380493164
1658340822.3260016,18959360,-78.5052490234375
1658340882.323231,19576832,-82.17769622802734
1658340942.3233523,20193280,-78.7546615600586
1658341002.3233378,20810752,-84.33583068847656
1658341062.3233824,21427200,-73.63639831542969
1658341122.3235495,22045696,-80.94403076171875
1658341182.3270156,22661120,-75.41410827636719
1658341242.3274767,23277568,-79.84011840820312
1658341302.3243034,23895040,-75.25581359863281
1658341362.3323827,24512512,-62.49456787109375
1658341422.325044,25128960,-71.68262481689453
1658341482.3261282,25746432,-64.86747741699219
1658341542.323377,26363904,-80.79005432128906
1658341602.3237011,26980352,-59.37690353393555
1658341662.3249042,27596800,-70.81666564941406
1658341722.3271909,28213248,-83.95747375488281
1658341782.3232083,28829696,-78.31108093261719
1658341842.3236265,29447168,-62.79850387573242
1658341902.3233867,30065664,-64.3203125
1658341962.3255675,30681088,-76.37952423095703
1658342022.3266456,31297536,-78.21194458007812
1658342082.3235092,31916032,-65.87753295898438
1658342142.323906,32533504,-67.51746368408203
1658342202.328132,33149952,-79.10163879394531
1658342262.321758,33766400,-70.2945327758789
1658342322.3234246,34381824,-85.26531219482422
1658342382.3230484,34999296,-54.9503288269043
1658342442.3235645,35618816,-54.078880310058594
1658342502.3253188,36235264,-52.917510986328125
1658342562.3243685,36851712,-51.283382415771484
1658342622.32392,37468160,-56.7457160949707
1658342682.3242564,38086656,-57.97715377807617
1658342742.3234706,38702080,-61.026084899902344
1658342802.328967,39318528,-90.605712890625
1658342862.3236058,39934976,-55.99857711791992
1658342922.3272295,40551424,-61.99984359741211
1658342982.328607,41168896,-64.23744201660156
1658343042.3258417,41785344,-51.41590118408203
1658343102.325085,42400768,-62.36790084838867
1658343162.330758,43017216,-83.00269317626953
1658343222.32708,43636736,-50.620479583740234
1658343282.325997,44252160,-55.52142333984375
1658343342.3271725,44869632,-59.465023040771484
1658343402.3248162,45486080,-58.085105895996094
1658343462.324313,46102528,-70.18472290039062
1658343522.3276675,46717952,-66.80653381347656
1658343582.3232055,47336448,-61.649173736572266
1658343642.3230443,47954944,-61.322879791259766
1658343702.3245144,48570368,-58.76558303833008
1658343762.3235168,49188864,-60.78529739379883
1658343822.3280294,49801216,-81.35922241210938
1658343882.329828,50418688,-61.735042572021484
