wall_time,step,value
1658338973.3425908,1024,0.8740234375
1658338978.4799166,20480,0.068359375
1658338983.5960014,54272,0.0087890625
1658338988.8742647,107520,0.001953125
1658338994.0936162,160768,0.0
1658338999.351475,215040,0.0
1658339004.7021642,270336,0.0
1658339010.2166705,325632,0.0
1658339015.684461,381952,0.0
1658339021.252693,440320,0.0
1658339026.911782,497664,0.0
1658339032.6319783,556032,0.0
1658339038.3532875,615424,0.0
1658339044.1441646,674816,0.0
1658339050.0166883,735232,0.0
1658339056.0217938,797696,0.0
1658339062.0513778,859136,0.0
1658339068.221918,921600,0.0
1658339074.340725,984064,0.0
1658339080.617402,1049600,0.0
1658339086.9145138,1114112,0.0
1658339093.25128,1179648,0.0
1658339099.6719003,1246208,0.0
1658339106.1676157,1311744,0.0
1658339112.740829,1380352,0.0
1658339119.4246066,1448960,0.0
1658339126.198846,1517568,0.0
1658339133.0389507,1588224,0.0
1658339140.0001318,1659904,0.0
1658339146.9971666,1730560,0.0
1658339154.208004,1804288,0.0
1658339161.5143576,1881088,0.0
1658339168.7292771,1954816,0.0
1658339176.046334,2030592,0.0
1658339183.4700325,2106368,0.0
1658339191.0272372,2184192,0.0
1658339198.7117212,2263040,0.0
1658339206.4918687,2341888,0.0
1658339214.2419016,2422784,0.0
1658339222.0957448,2503680,0.0
1658339230.0912514,2585600,0.0
1658339238.142896,2667520,0.0
1658339246.2719269,2751488,0.0
1658339254.5671957,2836480,0.0
1658339262.863293,2921472,0.0
1658339271.440224,3010560,0.0
1658339279.9592705,3097600,0.0
1658339288.608359,3185664,0.0
1658339297.3408241,3276800,0.0
1658339306.1319225,3366912,0.0
1658339315.087988,3457024,0.0
1658339324.1600919,3550208,0.0
1658339333.2863407,3644416,0.0
1658339342.5147116,3737600,0.0
1658339351.9305623,3834880,0.0
1658339361.4798703,3933184,0.0
1658339371.0728087,4031488,0.0
1658339380.9146752,4132864,0.0
1658339390.7328734,4234240,0.0
1658339400.6636157,4336640,0.0
1658339410.841879,4440064,0.0
1658339421.104467,4545536,0.0
1658339431.3661747,4651008,0.0
1658339441.7623906,4759552,0.0
1658339452.2627592,4865024,0.0
1658339463.0425756,4975616,0.0
1658339473.8489304,5088256,0.0
1658339484.7190871,5200896,0.0
1658339495.7335901,5314560,0.0
1658339506.9907074,5430272,0.0
1658339518.2905543,5545984,0.0
1658339529.8187332,5663744,0.0
1658339541.5365973,5784576,0.0
1658339553.2393441,5907456,0.0
1658339565.0230138,6027264,0.0
1658339576.9510775,6152192,0.0
1658339589.0910316,6275072,0.0
1658339601.358628,6401024,0.0
1658339613.802675,6530048,0.0
1658339626.3283644,6658048,0.0
1658339639.0015087,6789120,0.0
1658339651.8356318,6921216,0.0
1658339664.803924,7054336,0.0
1658339677.903244,7190528,0.0
1658339691.227179,7326720,0.0
1658339704.664549,7464960,0.0
1658339718.2987392,7604224,0.0
1658339732.098094,7746560,0.0
1658339745.9809778,7889920,0.0
1658339760.1227057,8034304,0.0
1658339774.3739092,8180736,0.0
1658339788.7781167,8328192,0.0
1658339803.3413413,8478720,0.0
1658339818.0506883,8630272,0.0
1658339832.927407,8782848,0.0
1658339848.0174503,8938496,0.0
1658339863.3152971,9095168,0.0
1658339878.7561684,9253888,0.0
1658339894.4507103,9415680,0.0
1658339910.31612,9579520,0.0
1658339926.2690191,9743360,0.0
1658339942.4814065,9910272,0.0
1658339958.851857,10079232,0.0
1658339975.5348058,10250240,0.0
1658339992.2746155,10423296,0.0
1658340009.317608,10596352,0.0
1658340026.4449754,10772480,0.0
1658340043.7540638,10950656,0.0
1658340061.3403509,11130880,0.0
1658340079.0799167,11312128,0.0
1658340096.9962766,11496448,0.0
1658340115.2213047,11683840,0.0
1658340133.6914284,11873280,0.0
1658340152.2763057,12064768,0.0
1658340171.067884,12259328,0.0
1658340190.1303127,12454912,0.0
1658340209.3826094,12651520,0.0
1658340228.9257236,12853248,0.0
1658340248.6468432,13056000,0.0
1658340268.5534546,13261824,0.001953125
1658340288.714372,13468672,0.0
1658340309.1505978,13679616,0.0
1658340329.7536137,13890560,0.0
1658340350.6880364,14106624,0.0009765625
1658340371.7845092,14324736,0.0
1658340393.1438277,14544896,0.001953125
1658340414.779467,14768128,0.0009765625
1658340436.647702,14992384,0.0009765625
1658340458.7865918,15219712,0.0
1658340481.143069,15451136,0.0
1658340503.8720462,15684608,0.0
1658340526.842738,15921152,0.0
1658340550.009399,16159744,0.0
1658340573.578819,16403456,0.0009765625
1658340597.3282135,16647168,0.0
1658340621.423295,16894976,0.0
1658340645.7147958,17144832,0.0
1658340670.2999563,17396736,0.0
1658340695.2269838,17654784,0.0
1658340720.3657265,17912832,0.0
1658340745.8078728,18173952,0.0009765625
1658340771.633268,18438144,0.0
1658340797.7615972,18707456,0.0
1658340824.1384013,18978816,0.0
1658340850.8563714,19253248,0.0
1658340877.850684,19529728,0.0
1658340905.136236,19812352,0.0
1658340932.8143268,20097024,0.0009765625
1658340960.851167,20383744,0.001953125
1658340989.144243,20675584,0.0
1658341017.712235,20968448,0.0048828125
1658341046.6311285,21266432,0.0
1658341075.9167073,21568512,0.0
1658341105.6367354,21873664,0.001953125
1658341135.7484133,22182912,0.0
1658341166.054984,22495232,0.0
1658341196.7207263,22811648,0.0009765625
1658341227.7128966,23129088,0.0009765625
1658341259.1642551,23451648,0.0
1658341290.9751658,23778304,0.0029296875
1658341323.1154594,24109056,0.0
1658341355.5966213,24442880,0.0
1658341388.4859629,24780800,0.0
1658341421.7078505,25123840,0.0
1658341455.3862817,25469952,0.0
1658341489.441592,25820160,0.0009765625
1658341523.8995006,26173440,0.0
1658341558.6821415,26530816,0.0
1658341593.9120517,26893312,0.0009765625
1658341629.6030912,27260928,0.0
1658341665.6528413,27630592,0.0
1658341702.222848,28007424,0.0048828125
1658341739.1687489,28386304,0.0009765625
1658341776.5670648,28771328,0.0
1658341814.3261735,29159424,0.0
1658341852.586543,29553664,0.0
1658341891.2747364,29950976,0.0009765625
1658341930.425255,30354432,0.0
1658341970.0424895,30760960,0.0068359375
1658342010.1038027,31173632,0.0029296875
1658342050.6687067,31590400,0.0048828125
1658342091.7556849,32012288,0.0
1658342133.328282,32440320,0.0
1658342175.3383312,32872448,0.0
1658342217.867445,33310720,0.0029296875
1658342260.8947031,33752064,0.0
1658342304.3637943,34198528,0.0009765625
1658342348.3516781,34651136,0.0
1658342392.8377798,35108864,0.0
1658342437.8676147,35571712,0.00390625
1658342483.476625,36039680,0.0
1658342529.509789,36514816,0.0
1658342576.174475,36994048,0.0
1658342623.2890918,37479424,0.0009765625
1658342671.0077841,37969920,0.0146484375
1658342719.241517,38465536,0.0009765625
1658342768.0864632,38966272,0.0
1658342817.4361815,39474176,0.001953125
1658342867.414856,39988224,0.005859375
1658342918.2078946,40508416,0.0009765625
1658342969.3336124,41035776,0.0009765625
1658343021.0305836,41567232,0.0048828125
1658343073.3389223,42103808,0.0
1658343126.2712617,42648576,0.0
1658343179.8470197,43199488,0.00390625
1658343234.0744934,43757568,0.00390625
1658343288.9624002,44319744,0.0
1658343344.4244616,44890112,0.0009765625
1658343400.5698235,45467648,0.0
1658343457.481767,46052352,0.001953125
1658343514.90805,46644224,0.0
1658343573.004748,47240192,0.0
1658343631.8646533,47845376,0.0087890625
1658343691.3218427,48457728,0.001953125
1658343751.5933678,49076224,0.005859375
1658343812.438552,49701888,0.0
1658343873.989411,50334720,0.005859375
1658343936.2427576,50972672,0.0009765625
1658343999.2874496,51620864,0.0
1658344063.0471516,52275200,0.0
1658344127.5090873,52938752,0.0009765625
1658344192.8140101,53610496,0.0
1658344258.8222907,54289408,0.0
1658344325.6468928,54975488,0.001953125
1658344393.2076693,55668736,0.0
1658344461.5447478,56371200,0.001953125
1658344530.6979847,57080832,0.0029296875
1658344600.6807206,57800704,0.001953125
1658344671.473698,58528768,0.0009765625
1658344743.1517355,59268096,0.0
1658344815.5874293,60011520,0.0048828125
1658344889.0088663,60765184,0.0
1658344963.200104,61528064,0.0
1658345038.2113173,62299136,0.0107421875
1658345114.073831,63079424,0.0
