wall_time,step,value
1739282861.8824668,444292096,1.0
1739282944.281999,446222336,1.0
1739283026.835152,448256000,1.0
1739283109.4892454,450206720,1.0
1739283192.3308334,452227072,1.0
1739283275.257674,454267904,1.0
1739283358.3953416,456263680,1.0
1739283441.582026,458301440,1.0
1739283524.9483502,460250112,1.0
1739283608.3978844,462234624,1.0
1739283692.0140069,464248832,1.0
1739283775.7386138,466307072,1.0
1739283859.911103,468285440,1.0
1739283943.891476,470339584,1.0
1739284029.4504354,472397824,1.0
1739284113.7103043,474471424,1.0
1739284199.8071518,476495872,1.0
1739284284.3277748,478490624,1.0
1739284370.559532,480437248,1.0
1739284455.320654,482361344,1.0
1739284541.0242498,484235264,1.0
1739284626.1010728,486213632,1.0
1739284711.8235464,488160256,1.0
1739284797.109788,490144768,1.0
1739284882.7152538,492054528,1.0
1739284968.302799,494066688,1.0
1739285053.976323,496022528,1.0
1739285139.739903,498049024,1.0
1739285225.6736982,500030464,1.0
1739285311.749247,502067200,1.0
1739285397.9131193,504055808,1.0
1739285484.2164598,506082304,1.0
1739285570.6489882,508067840,1.0
1739285657.23042,510097408,1.0
1739285744.0412729,512087040,1.0
1739285830.9350421,514136064,1.0
1739285917.9172766,516119552,1.0
1739286005.0105834,518132736,1.0
1739286092.2275674,520162304,1.0
1739286179.577098,522171392,1.0
1739286267.0547552,524170240,1.0
1739286354.6834505,526202880,1.0
1739286442.4209452,528226304,1.0
1739286530.286589,530271232,1.0
1739286618.3010268,532340736,1.0
1739286706.4428122,534391808,1.0
1739286794.7819657,536460288,1.0
1739286883.2265682,538535936,1.0
1739286971.817657,540605440,1.0
1739287060.5152798,542687232,1.0
1739287149.3602662,544757760,1.0
1739287238.3126643,546816000,1.0
1739287327.4490047,548886528,1.0
1739287416.6677108,550989824,1.0
1739287506.0516381,553083904,1.0
1739287595.56967,555171840,1.0
1739287685.2275403,557270016,1.0
1739287775.0208008,559373312,1.0
1739287864.9234653,561463296,1.0
1739287954.9666705,563565568,1.0
1739288045.1847353,565684224,1.0
1739288135.5228844,567803904,1.0
1739288226.0156028,569921536,1.0
1739288316.6458123,572046336,1.0
1739288407.379467,574171136,1.0
1739288498.2712173,576306176,1.0
1739288589.3052764,578429952,1.0
1739288680.4747536,580570112,1.0
1739288771.8451684,582720512,1.0
1739288863.3040252,584865792,1.0
1739288954.8606873,587009024,1.0
1739289046.57557,589159424,1.0
1739289138.4594395,591315968,1.0
1739289230.4426138,593487872,1.0
1739289322.5612764,595659776,1.0
1739289414.8372529,597827584,1.0
1739289507.2456243,600005632,1.0
1739289599.802218,602191872,1.0
1739289692.5397286,604382208,1.0
1739289785.3681188,606568448,1.0
1739289878.3754091,608756736,1.0
1739289971.5659344,610932736,1.0
1739290064.8991332,613129216,1.0
1739290158.321149,615321600,1.0
1739290251.8964887,617527296,1.0
1739290345.5882752,619707392,1.0
1739290439.4570553,621916160,1.0
1739290533.442794,624129024,1.0
1739290627.5828528,626340864,1.0
1739290721.8453486,628537344,1.0
1739290816.267314,630755328,1.0
1739290910.859187,632970240,1.0
1739291005.6447363,635193344,1.0
1739291100.536062,637416448,1.0
1739291195.5284967,639656960,1.0
1739291290.6905239,641871872,1.0
1739291386.0104508,644094976,1.0
1739291481.447221,646317056,1.0
1739291577.0304532,648558592,1.0
1739291672.7499099,650823680,1.0
1739291768.6217477,653092864,1.0
1739291864.6359177,655354880,1.0
1739291960.818931,657617920,1.0
1739292057.143715,659899392,1.0
1739292153.6034005,662154240,1.0
1739292250.239279,664440832,1.0
1739292346.998245,666720256,1.0
1739292443.9535356,669008896,1.0
1739292541.0357013,671310848,1.0
1739292638.2655625,673617920,1.0
1739292735.6361504,675924992,1.0
1739292833.1574602,678228992,1.0
1739292930.8459098,680549376,1.0
1739293028.7331235,682871808,1.0
1739293126.6879444,685197312,1.0
1739293224.8572311,687513600,1.0
1739293323.1160746,689852416,1.0
1739293421.5382636,692189184,1.0
1739293520.1054726,694534144,1.0
1739293618.828047,696889344,1.0
1739293717.7405832,699230208,1.0
1739293816.8699734,701582336,1.0
1739293916.0575197,703943680,1.0
1739294015.4239638,706300928,1.0
1739294114.9311721,708647936,1.0
1739294214.5800323,711021568,1.0
1739294314.375382,713385984,1.0
1739294414.3337712,715763712,1.0
1739294514.4767118,718131200,1.0
1739294614.7552817,720506880,1.0
1739294715.1912816,722883584,1.0
1739294815.7738674,725270528,1.0
1739294916.4826152,727676928,1.0
1739295017.3983586,730076160,1.0
1739295118.477114,732482560,1.0
1739295219.674197,734887936,1.0
1739295321.0276046,737295360,1.0
1739295422.547027,739702784,1.0
1739295524.221845,742112256,1.0
1739295626.0593593,744526848,1.0
1739295728.111312,746951680,1.0
1739295830.2578514,749396992,1.0
1739295932.5562568,751816704,1.0
1739296035.001112,754251776,1.0
1739296137.6293387,756670464,1.0
1739296240.4467676,759107584,1.0
1739296343.3993108,761552896,1.0
1739296446.5261927,764002304,1.0
1739296549.7689834,766458880,1.0
1739296653.1838617,768907264,1.0
1739296756.772656,771350528,1.0
1739296860.5008109,773805056,1.0
1739296964.3851094,776268800,1.0
1739297068.4377763,778730496,1.0
1739297172.653116,781207552,1.0
1739297277.0180197,783681536,1.0
1739297381.5404468,786128896,1.0
1739297486.2548177,788590592,1.0
1739297591.0930347,790925312,1.0
1739297696.1011393,793226240,1.0
1739297801.2931955,795551744,1.0
1739297906.5856934,797895680,1.0
1739298012.142543,800249856,1.0
1739298117.7380853,802599936,1.0
1739298223.525017,804924416,1.0
1739298329.4303696,807260160,1.0
1739298435.5011106,809671680,1.0
1739298541.7306285,812103680,1.0
1739298648.0995889,814553088,1.0
1739298754.6607568,817026048,1.0
1739298861.3806052,819501056,1.0
1739298968.235022,821967872,1.0
1739299075.286555,824377344,1.0
1739299182.4756033,826812416,1.0
1739299289.8252025,829197312,1.0
1739299397.3076093,831611904,1.0
1739299504.972856,834023424,1.0
1739299612.8097093,836473856,1.0
1739299720.7791684,838934528,1.0
